iter	CatBoostEvalMetricDeviation	RMSE
501	3.843092374	85095.04138
502	3.84263987	85085.02247
503	3.842467597	85073.26744
504	3.842409503	85050.91932
505	3.842141022	85035.25844
506	3.841205654	85003.21359
507	3.841193424	84979.15317
508	3.841024694	84945.4751
509	3.840887278	84929.54749
510	3.841194955	84910.68519
511	3.840719207	84870.36164
512	3.840524242	84852.32499
513	3.840266006	84833.85514
514	3.83991133	84796.32813
515	3.839578057	84774.35633
516	3.839191849	84734.16016
517	3.837657387	84709.19232
518	3.837430778	84688.96015
519	3.837142013	84660.73966
520	3.837162915	84639.31547
521	3.83718334	84638.87927
522	3.836864777	84625.30894
523	3.836226865	84610.27274
524	3.836164037	84588.77416
525	3.836016536	84573.24554
526	3.835875745	84567.7058
527	3.835906881	84557.87018
528	3.834526593	84534.73735
529	3.834096017	84518.66558
530	3.83373474	84497.65074
531	3.833547976	84478.55045
532	3.833554311	84478.16479
533	3.832574799	84427.97403
534	3.83185962	84398.61581
535	3.831817648	84388.58757
536	3.830688058	84353.08068
537	3.830661123	84322.22356
538	3.830407309	84306.78076
539	3.830204809	84289.58917
540	3.829503825	84254.84839
541	3.827957431	84226.22549
542	3.828038397	84212.71444
543	3.827549458	84181.52437
544	3.827284331	84168.65499
545	3.827200857	84156.75353
546	3.826832372	84128.17625
547	3.827035848	84112.06994
548	3.826547017	84090.28397
549	3.825997603	84053.29984
550	3.825464986	84033.79962
551	3.825540393	84030.54654
552	3.82446826	84012.69521
553	3.82394922	84008.44894
554	3.82218406	83984.89083
555	3.821155785	83966.9734
556	3.8210119	83951.05083
557	3.821342551	83935.97957
558	3.821282266	83930.99839
559	3.821159721	83917.81769
560	3.821032024	83908.10653
561	3.821062481	83893.67502
562	3.818835579	83878.19956
563	3.819119348	83853.76736
564	3.818812164	83836.09025
565	3.818566639	83823.10273
566	3.818343283	83810.11331
567	3.817976282	83803.69218
568	3.817855118	83792.89549
569	3.817724619	83777.55268
570	3.817446339	83765.31381
571	3.817838242	83744.87527
572	3.817420675	83714.2906
573	3.817279243	83704.40373
574	3.816659655	83669.39474
575	3.815924227	83645.33494
576	3.815350056	83617.45987
577	3.815565284	83603.52041
578	3.813380898	83582.32551
579	3.813280972	83576.58524
580	3.812968125	83553.54429
581	3.812760552	83520.11348
582	3.812471314	83488.17868
583	3.811830711	83475.31832
584	3.811837657	83474.96521
585	3.811804563	83463.69841
586	3.811711957	83452.53165
587	3.811639632	83436.72433
588	3.810580625	83415.45338
589	3.810588793	83411.64168
590	3.810237566	83394.98289
591	3.80856641	83378.15814
592	3.808305596	83359.38536
593	3.808132942	83338.38538
594	3.808055878	83324.89996
595	3.807817938	83296.78913
596	3.807823152	83296.46127
597	3.807533374	83285.74293
598	3.807295085	83267.84151
599	3.807148597	83257.97086
600	3.806744385	83226.93148
601	3.806501972	83219.06755
602	3.803958483	83204.58498
603	3.804081843	83188.11399
604	3.803683534	83183.83904
605	3.803813403	83177.86469
606	3.803739633	83165.82229
607	3.803244337	83146.83704
608	3.802903152	83104.23569
609	3.802426452	83081.10393
610	3.801897625	83072.32655
611	3.80214084	83057.2859
612	3.802160415	83054.04778
613	3.801265984	83045.41657
614	3.801127035	83031.68889
615	3.801060814	83014.37384
616	3.80108352	83012.63542
617	3.801006504	82994.05613
618	3.800946839	82981.49471
619	3.798750028	82968.81475
620	3.798146294	82940.89933
621	3.797785096	82921.83862
622	3.797452499	82899.28701
623	3.796780861	82874.84884
624	3.796137482	82851.31534
625	3.796035456	82842.32801
626	3.795872279	82827.99382
627	3.795502228	82808.2504
628	3.795531248	82806.49047
629	3.795469731	82795.75299
630	3.795188811	82785.70309
631	3.795100735	82777.68258
632	3.794220358	82745.70675
633	3.79396659	82737.71928
634	3.793522173	82715.34203
635	3.793507851	82689.85567
636	3.793005946	82654.65806
637	3.792600435	82641.41383
638	3.792850848	82632.85163
639	3.792761868	82626.12233
640	3.792724656	82615.76524
641	3.791716604	82584.00212
642	3.79126105	82572.48271
643	3.791124126	82563.14507
644	3.791060088	82556.97327
645	3.790563169	82529.12612
646	3.790563733	82506.09969
647	3.790219195	82496.76679
648	3.789328769	82480.64363
649	3.789207312	82464.87177
650	3.789324042	82447.68138
651	3.789272047	82439.15076
652	3.789209101	82432.66718
653	3.7892251	82431.78116
654	3.788703744	82416.18657
655	3.788603846	82410.2718
656	3.788231093	82393.28853
657	3.787852261	82359.98404
658	3.787680954	82342.82896
659	3.787438567	82321.84583
660	3.787560357	82286.56826
661	3.787417651	82281.81333
662	3.78737447	82275.40842
663	3.786747208	82247.07405
664	3.786652737	82226.32701
665	3.786679052	82221.30114
666	3.786377269	82188.32775
667	3.786068563	82164.72403
668	3.786017161	82156.03847
669	3.786000974	82145.66463
670	3.785772845	82134.66834
671	3.785165657	82112.2096
672	3.78485916	82102.96743
673	3.785018333	82094.46587
674	3.784753429	82082.80227
675	3.784762771	82082.52901
676	3.784484349	82064.63608
677	3.784450734	82062.27614
678	3.78435431	82047.93306
679	3.784026642	82039.47553
680	3.783331439	82012.00676
681	3.782764894	81999.42622
682	3.78238403	81983.4327
683	3.781920343	81967.34733
684	3.781897942	81953.64499
685	3.781595106	81928.13003
686	3.781141742	81898.38795
687	3.780991913	81877.91617
688	3.779342679	81864.50433
689	3.779314096	81839.50375
690	3.778148667	81820.07212
691	3.777099503	81789.41326
692	3.776718889	81771.5714
693	3.776721413	81771.32572
694	3.776484605	81749.88562
695	3.776656108	81749.05347
696	3.776156235	81732.12404
697	3.776118773	81717.19911
698	3.775716003	81701.74824
699	3.775634995	81692.85812
700	3.775343377	81674.56356
701	3.77537186	81661.9181
702	3.774447183	81648.62764
703	3.774401985	81642.62355
704	3.77410839	81620.29283
705	3.774182994	81611.48667
706	3.77221318	81597.07866
707	3.770714137	81582.86618
708	3.770452489	81572.45433
709	3.770166199	81563.41726
710	3.769539484	81527.65051
711	3.769028214	81495.66534
712	3.768950198	81481.86465
713	3.768822942	81476.3464
714	3.768655171	81460.80059
715	3.768773112	81453.45636
716	3.768667439	81444.74368
717	3.76856132	81431.36196
718	3.768375203	81407.78037
719	3.768287315	81399.98405
720	3.768011266	81387.81145
721	3.767717117	81386.01074
722	3.767698717	81380.1853
723	3.767707655	81372.8653
724	3.76752085	81363.831
725	3.767639307	81353.81294
726	3.767672789	81348.98233
727	3.765995613	81319.16308
728	3.765822958	81291.51223
729	3.76586244	81287.51129
730	3.76573989	81272.81166
731	3.765596555	81261.44729
732	3.765351548	81240.14333
733	3.765396782	81236.52749
734	3.765217364	81228.59737
735	3.765182263	81209.56205
736	3.764988508	81197.2457
737	3.764152913	81183.28798
738	3.763971788	81174.46102
739	3.762557655	81162.92424
740	3.762426175	81152.79787
741	3.762349759	81139.19508
742	3.762271503	81135.30261
743	3.762185234	81120.68791
744	3.762067575	81107.48899
745	3.761471065	81083.6822
746	3.761117796	81063.79586
747	3.761003872	81057.29562
748	3.761213168	81049.33844
749	3.761098321	81037.74602
750	3.760642873	81020.50786
751	3.760336731	81003.77889
752	3.760280737	80982.83513
753	3.759942205	80979.71894
754	3.759741534	80958.17018
755	3.759423816	80952.83857
756	3.758957244	80939.96054
757	3.758404368	80928.58949
758	3.758223143	80919.55203
759	3.758240783	80914.06037
760	3.757860943	80897.28977
761	3.757618893	80885.03574
762	3.757212745	80872.9736
763	3.756424621	80857.63875
764	3.756455041	80851.35429
765	3.756301435	80826.9514
766	3.756390861	80821.47377
767	3.756318541	80813.13487
768	3.755968124	80785.00136
769	3.755764748	80763.47646
770	3.755501935	80755.48322
771	3.754813614	80729.43012
772	3.754801074	80725.42099
773	3.754561254	80713.69941
774	3.754523154	80703.38034
775	3.752875016	80680.26342
776	3.752627839	80654.35051
777	3.75266202	80643.73673
778	3.75221752	80632.77273
779	3.751938293	80615.27774
780	3.751665033	80605.08939
781	3.75101844	80580.70834
782	3.751180693	80572.12088
783	3.751063558	80549.03513
784	3.750848291	80526.62491
785	3.750867961	80523.37062
786	3.749318163	80504.34679
787	3.748713242	80471.34564
788	3.748504856	80458.44557
789	3.748588739	80439.31843
790	3.747852785	80412.93316
791	3.747763719	80409.62366
792	3.747759244	80405.97756
793	3.747517034	80393.20627
794	3.746979112	80371.66032
795	3.746861525	80349.56782
796	3.746910632	80339.33151
797	3.746746994	80334.76103
798	3.746302156	80311.53696
799	3.744557678	80302.06861
800	3.743926024	80282.32705
801	3.742373073	80267.85956
802	3.742032195	80251.46457
803	3.741976374	80245.89673
804	3.741546251	80237.20206
805	3.74061976	80225.3334
806	3.740426858	80210.24017
807	3.740339033	80204.89872
808	3.740364587	80197.90463
809	3.74027541	80192.86946
810	3.739007603	80177.83228
811	3.739000525	80171.58371
812	3.73877631	80165.65773
813	3.738264824	80155.57212
814	3.738381307	80124.00784
815	3.73835826	80120.22671
816	3.738417373	80117.80369
817	3.738345995	80113.01986
818	3.738129751	80105.87045
819	3.738127174	80100.92575
820	3.737146563	80079.1406
821	3.736657726	80063.87578
822	3.736760864	80060.63052
823	3.73647927	80057.72622
824	3.736159269	80042.96025
825	3.736056705	80028.47415
826	3.735960816	80013.34182
827	3.735504069	80004.39522
828	3.735490212	79987.85848
829	3.735588548	79985.07878
830	3.735322555	79975.85574
831	3.734951494	79952.78758
832	3.734936928	79947.95481
833	3.734311251	79935.63935
834	3.733226367	79925.02051
835	3.733041858	79922.90849
836	3.732715083	79898.31025
837	3.732550215	79881.78439
838	3.732196673	79854.57301
839	3.731671813	79842.32366
840	3.731763884	79834.95403
841	3.731737872	79818.95956
842	3.731277499	79798.68049
843	3.731247952	79787.08294
844	3.730663222	79762.90955
845	3.730614126	79755.54587
846	3.730491907	79738.89637
847	3.730330123	79733.11834
848	3.730549433	79729.27699
849	3.730410032	79716.26935
850	3.729845833	79702.55
851	3.729521535	79687.79089
852	3.729421379	79676.71119
853	3.728874804	79665.25586
854	3.72856525	79646.24632
855	3.728377963	79632.4233
856	3.728352986	79621.13588
857	3.727763575	79606.12296
858	3.727102062	79586.09209
859	3.727133902	79577.71804
860	3.727089341	79572.73273
861	3.72648213	79546.46226
862	3.726373904	79526.99489
863	3.726221175	79513.85279
864	3.726004048	79503.59991
865	3.725120747	79489.28774
866	3.724910171	79478.09417
867	3.724966707	79467.57149
868	3.724924739	79455.84733
869	3.724813515	79451.21688
870	3.724324193	79433.80649
871	3.723924414	79407.0495
872	3.723194043	79397.61046
873	3.722614541	79370.47436
874	3.722245708	79358.33335
875	3.72208298	79344.13739
876	3.72170746	79319.27744
877	3.721435623	79301.21738
878	3.72072505	79285.27879
879	3.720659974	79274.68283
880	3.720662917	79266.23142
881	3.720568469	79260.18968
882	3.720235364	79248.044
883	3.720051452	79244.35524
884	3.719360673	79228.55802
885	3.71939234	79218.39368
886	3.719236862	79205.09238
887	3.718448481	79190.82202
888	3.717875108	79171.14756
889	3.717836445	79159.01596
890	3.717702128	79156.0672
891	3.717968046	79144.05135
892	3.717934326	79137.41917
893	3.717898254	79120.48555
894	3.716878792	79109.21935
895	3.716576275	79097.77228
896	3.716319867	79068.38868
897	3.716121578	79052.10343
898	3.71608852	79034.55053
899	3.715966867	79025.37427
900	3.716023111	79016.9833
901	3.715749762	79014.27771
902	3.715176795	79003.81572
903	3.715136016	78981.1625
904	3.714949689	78966.8144
905	3.714584419	78956.79664
906	3.71476834	78951.13252
907	3.71452546	78934.6029
908	3.713928308	78900.27592
909	3.71367976	78884.14012
910	3.713326238	78871.08963
911	3.713349391	78853.42613
912	3.713179022	78840.83906
913	3.713218748	78830.04902
914	3.713010521	78809.75682
915	3.712538366	78784.08977
916	3.711974914	78769.27947
917	3.712094466	78758.47504
918	3.711225671	78744.93048
919	3.709776052	78726.28039
920	3.70922798	78715.13729
921	3.709083502	78698.89589
922	3.707197235	78690.57949
923	3.707204545	78686.39896
924	3.706874799	78679.23817
925	3.707000651	78671.26298
926	3.706593699	78667.89933
927	3.706631201	78655.4024
928	3.706139613	78639.35185
929	3.705867286	78629.48587
930	3.705316483	78613.22998
931	3.705191446	78590.86197
932	3.704933285	78580.93611
933	3.704714631	78578.36904
934	3.704557935	78574.65299
935	3.704335606	78564.31036
936	3.703718624	78550.08543
937	3.703564581	78546.78402
938	3.703352862	78533.23882
939	3.70284008	78521.30202
940	3.702677921	78510.38912
941	3.701847702	78492.13663
942	3.70136305	78483.11156
943	3.701443641	78470.53061
944	3.701221768	78455.81199
945	3.700372208	78440.15611
946	3.700005468	78424.4918
947	3.700227522	78420.677
948	3.700312171	78404.04426
949	3.699783985	78394.39472
950	3.699055659	78377.24016
951	3.698636058	78345.6473
952	3.698329714	78330.04656
953	3.697955343	78316.65848
954	3.697983618	78314.53369
955	3.697918543	78309.06222
956	3.697622261	78285.97804
957	3.697296919	78268.62604
958	3.697081072	78258.55553
959	3.696804345	78243.03009
960	3.696817263	78240.52844
961	3.696730175	78234.99117
962	3.696441381	78231.7343
963	3.696148075	78207.01362
964	3.696001331	78186.99277
965	3.695904898	78172.58261
966	3.695820308	78141.9426
967	3.695015426	78114.33575
968	3.694897411	78103.07752
969	3.694738692	78099.17348
970	3.694128208	78088.79173
971	3.693527753	78067.39592
972	3.693577356	78060.13325
973	3.692945134	78043.36319
974	3.692972092	78037.20718
975	3.692349181	78021.57273
976	3.6919568	78002.26851
977	3.692072622	77992.58703
978	3.691998112	77981.55181
979	3.691624757	77975.5938
980	3.691579098	77959.20225
981	3.691317528	77936.89546
982	3.691514298	77930.15637
983	3.691180583	77921.00473
984	3.690794687	77905.09825
985	3.690522587	77897.43152
986	3.689944722	77878.43118
987	3.689571016	77857.30591
988	3.689380141	77855.08737
989	3.68938918	77847.4577
990	3.689355845	77835.91336
991	3.68920352	77829.12077
992	3.688798669	77822.82003
993	3.68872061	77807.91198
994	3.688383172	77792.55866
995	3.688282314	77784.00869
996	3.687876327	77775.6128
997	3.687838177	77765.13113
998	3.687769314	77759.51191
999	3.687785457	77745.98855
